id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 00:00:00;3.916;0.0;0.996;1.573
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 00:30:00;3.819;1.0;0.0;1.769
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 01:00:00;4.207;0.0;1.215;2.46
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 01:30:00;4.361;0.0;1.348;2.856
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 02:00:00;5.398;0.0;2.656;4.733
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 02:30:00;6.357;0.0;4.756;7.195
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 03:00:00;6.809;0.0;6.136;8.127
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 03:30:00;6.505;0.0;5.179;7.663
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 04:00:00;6.554;0.0;5.324;6.733
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 04:30:00;5.93;0.0;3.692;5.147
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 05:00:00;5.782;0.0;3.374;4.72
NE;BA;Tipo II-C;Conj. Caetité 123;Caetité 2;BAUET2;EOL.CV.BA.030437-9.01;2022-11-01 05:30:00;5.444;0.0;2.734;3.743
